# a
ponočnjak, sam
praporščak, sam
predznak, sam
privlak, sam
prvak, sam
razkorak, sam
rojak, sam
rumenjak, sam
sadovnjak, sam
seljak, sam
severnjak, sam
skalnjak, sam
snežak, sam
soimenjak, sam
somrak, sam
srnjak, sam
stotak, sam
strokovnjak, sam
svak, sam
svinjak, sam
svobodnjak, sam
špičak, sam
tak, zaim
težak, sam
težak, prid
tiktak, sam
tisočak, sam
tlak, sam
tobak, sam
tovornjak, sam
trak, sam
trebušnjak, sam
učenjak, sam
veljak, sam
vijak, sam
veseljak, sam
vlak, sam
vojak, sam
volkodlak, sam
vrtiljak, sam
vsak, zaim
vzhodnjak, sam
vznak, pris
zahodnjak, sam
zanesenjak, sam
zidak, sam
znak, sam
zverinjak, sam
izplak, sam
krak, sam
mak, sam
nak, člen
marsikak, zaim
rak, sam
razmak, sam
spak, sam
zrak, sam
alpak (alpaka), sam
barak (baraka), sam
dlak (dlaka), sam
kloak (kloaka), sam
mlak (mlaka), sam
napak (napaka), sam
navlak (navlaka), sam
odplak (odplaka), sam
omak (omaka), sam
oznak (oznaka), sam
srak (sraka), sam
krepak, prid

# al
admiral, sam
arzenal, sam
aval, sam
bokal, sam
ceremonial, sam
diferencial, sam
feldmaršal, sam
festival, sam
general, sam
gral, sam
hospital, sam
ideal, sam
integral, sam
interval, sam
kal, sam
kanal, sam
kanibal, sam
kapital, sam
kardinal, sam
karneval, sam
koral, sam
korporal, sam
kraval, sam
kriminal, sam
kristal, sam
kvartal, sam
lokal, sam
madrigal, sam
maršal, sam
material, sam
mineral, sam
naval, sam
odsihmal, pris
opal, sam
oral, sam
original, sam
oval, sam
pavšal, sam
pedal, sam
pokal, sam
portal, sam
potencial, sam
predal, sam
preval, sam
rafal, sam
recital, sam
regal, sam
ritual, sam
rival, sam
signal, sam
šakal, sam
škandal, sam
šal, sam
terminal, sam
tistihmal, pris
total, sam
val, sam
vandal, sam
vazal, sam
vogal, sam
vokal, sam
zal, prid
žurnal, sam
bal (bala), sam
central (centrala), sam
diagonal (diagonala), sam
hval (hvala), sam
koal (koala), sam
obal (obala), sam
očal (očala), sam
sandal, sam
skal (skala), sam
spiral (spirala), sam
šal (šala), sam
štal (štala), sam
transverzal (transverzala), sam
vertikal (vertikala), sam
zahval (zahvala), sam
zijal (zijalo), sam
bodal (bodalo), sam
brenkal (brenkalo), sam
budal (budalo), sam
dihal (dihala), sam
držal (držalo), sam
